firstnum,secondnum,mean,stddev,median,user,system,min,max
1,1,0.0036153235039999964,0.0003820463275230765,0.0036005620000000003,0.001116547999999999,0.000075363,0.0028561240000000002,0.004836765000000001
4,8,0.0035551076270000006,0.0003822278698200027,0.0034234310000000002,0.0010750410000000014,0.000095974,0.0028938640000000003,0.005470227
9,27,0.0041765222640000035,0.0005045931233498851,0.0041748315,0.0013667999999999994,0.00014339699999999997,0.003041484,0.009470384
16,64,0.004480604797000008,0.0004737239430021277,0.0043111265,0.0018033330000000005,0.00021559800000000003,0.0036807220000000004,0.006124200000000001
25,125,0.008685287067000004,0.0005174043099294401,0.0086255445,0.004719668000000002,0.0014285409999999998,0.007663645,0.010396802
36,216,0.03128843368900002,0.0012358423278568194,0.031082683,0.01867769799999999,0.009714384000000006,0.029409543000000003,0.043324259000000004
49,343,0.09156262557599998,0.0023894236134306777,0.09125524850000001,0.06446473999999995,0.02428238800000003,0.087469054,0.110255396
64,512,0.24909160173100026,0.011170412762680541,0.24603508100000002,0.1976989590000001,0.04830706900000001,0.23873655500000002,0.349009477
81,729,0.7193894818129998,0.012631077620468797,0.718055876,0.546388176000001,0.16966019699999974,0.698079079,0.8363977410000001
100,1000,1.6104967352089987,0.03860960878279375,1.6061805740000001,1.2773975249999983,0.3294569020000004,1.564412541,2.191964921
