firstnum,secondnum,mean,stddev,median,user,system,min,max
1,1,0.0036960694770000056,0.0004570357408195907,0.003654913,0.0010856739999999985,0.00012113799999999999,0.002728185,0.008536983
2,2,0.003669926090000005,0.0003918969875650442,0.0036381265,0.0011134379999999991,0.00009109199999999999,0.0029036820000000003,0.0049380150000000005
3,3,0.0036927566220000016,0.00038178607246418337,0.003683477,0.0011164590000000013,0.00009644399999999999,0.003050005,0.004974798
4,4,0.003709973874999999,0.00044636432558185156,0.0036913105000000003,0.0011384730000000014,0.00008728999999999997,0.0028790770000000003,0.006015338
5,5,0.003759435455999999,0.00047138110970711713,0.0037212395,0.0011484109999999998,0.000084923,0.002806191,0.006347152
6,6,0.003637903220000001,0.0003998657891944617,0.0035275735,0.0010995519999999997,0.000087275,0.002902361,0.0052527270000000004
7,7,0.0036588435129999985,0.000386278631225906,0.0036313015,0.0011141690000000008,0.00009947600000000001,0.003065363,0.006023939000000001
8,8,0.0037039781989999946,0.0003905023181143028,0.0036627480000000004,0.0011079889999999998,0.00011195100000000005,0.002943317,0.005860870000000001
9,9,0.003724549472000001,0.0004174456185968646,0.003693099,0.0011077810000000015,0.00011903100000000003,0.003044956,0.0074021880000000005
10,10,0.0037511635960000038,0.0004016028774184758,0.0037438140000000003,0.0011183780000000002,0.00011580899999999996,0.0030619980000000002,0.006787488
11,11,0.003676255491999998,0.0003916577452143672,0.0036397620000000004,0.0011330680000000003,0.000091446,0.002786263,0.005646395
12,12,0.0036950206649999993,0.0003998868075168128,0.0036430460000000005,0.0011395049999999996,0.000096059,0.0029142630000000003,0.005310619
13,13,0.0037523006439999992,0.0004192053293608942,0.0037140790000000003,0.0011498989999999991,0.00010551399999999999,0.0029347410000000003,0.005707380000000001
14,14,0.003758384551,0.0004246771087245321,0.0037091290000000002,0.0011726280000000002,0.00009104099999999998,0.0028588090000000003,0.005998006
15,15,0.003767612866999998,0.00040913041632080623,0.0037702940000000004,0.0011895070000000007,0.00008762699999999998,0.0029080810000000003,0.005214796000000001
16,16,0.0037550855619999995,0.00040152133915284156,0.0037186065,0.0011905759999999979,0.000092417,0.002879678,0.005338201000000001
17,17,0.0037674418210000044,0.000392597585217119,0.0037326405000000003,0.001191850000000001,0.000106653,0.0031318170000000003,0.005158356
18,18,0.0039451595879999996,0.0005381610075702358,0.0038688200000000002,0.001241552999999999,0.00012623700000000002,0.0029839940000000002,0.006734412
19,19,0.0038327984900000008,0.00039530460353189104,0.0038090155000000004,0.001221789,0.00011428299999999996,0.003034447,0.0051494800000000005
20,20,0.003914772043000005,0.0004738132572760812,0.0038940140000000003,0.0012427359999999997,0.00013497900000000002,0.003150472,0.009350355000000001
21,21,0.0038478656309999994,0.00040005844364051745,0.003828188,0.0012522509999999978,0.000110151,0.0029628130000000003,0.005120605
22,22,0.0038899840380000024,0.0004058735254445963,0.0038882085000000004,0.0012762570000000005,0.00010991700000000003,0.0032082200000000003,0.005418695
23,23,0.0038975974260000014,0.0004074677170743915,0.0038683250000000006,0.0012859759999999984,0.000122574,0.0029245210000000002,0.0055594120000000006
24,24,0.0038980367610000006,0.0004026752139530789,0.0038375585,0.001294402999999998,0.00012743,0.0030860130000000003,0.005537192000000001
25,25,0.003927319952999998,0.00040582837520796507,0.0038856090000000004,0.0013333019999999985,0.000111686,0.0032526630000000003,0.005487469
26,26,0.003999253326000003,0.0004502848652526124,0.003940929,0.0013763799999999989,0.00011883699999999995,0.003026242,0.007197271000000001
27,27,0.00400101366,0.0004194348365328349,0.003952307,0.001359634999999999,0.00014572999999999995,0.003136867,0.005395844
28,28,0.004050556507999999,0.00042242126702848426,0.0040138975,0.0013990860000000008,0.00013392699999999997,0.003097774,0.005539982000000001
29,29,0.004039686652000005,0.0004222816256486842,0.004004796,0.001444851,0.00010409999999999998,0.003174187,0.005202513000000001
30,30,0.004161671736000005,0.0005007198582588286,0.0040821995000000005,0.0014622360000000007,0.00015182399999999997,0.0034523550000000003,0.0073628140000000005
31,31,0.004125668666000002,0.0004178446918504147,0.0040697220000000004,0.0014865500000000001,0.00014426200000000004,0.003466031,0.005781608000000001
32,32,0.004241999014999996,0.00045548114959363336,0.004196747000000001,0.0015350760000000026,0.000158409,0.003391191,0.00635299
33,33,0.004283597858999998,0.0004235967927660723,0.0042301579999999995,0.0016274289999999982,0.00015673,0.003595061,0.007025195000000001
34,34,0.004324655937999999,0.0004594011018512586,0.004181815,0.0016534539999999995,0.0001593949999999999,0.0034841340000000003,0.007920936
35,35,0.004379188674000006,0.0004503768573981255,0.004293173000000001,0.001648057,0.00022040200000000005,0.0036548120000000003,0.006052122
36,36,0.004366033712000001,0.0004578845027723935,0.0042279485,0.0016764299999999998,0.000199914,0.003543711,0.006426871000000001
37,37,0.004604086127000002,0.0005088341484889683,0.0045484285,0.001876356000000002,0.00014894899999999997,0.0037657600000000004,0.007973193
38,38,0.004640186551000004,0.0005027827423536355,0.004476540500000001,0.0018284080000000006,0.00020365300000000006,0.003908456,0.007048502000000001
