stations,connections,lines,mean,stddev,median,user,system,min,max
5800,5800,200,0.08501757380000001,0.0015353274999561207,0.0849247155,0.07959669999999999,0.0,0.08300135900000001,0.08757368500000001
5900,5900,200,0.08456861219999999,0.0019050279416392224,0.0842319675,0.07817859999999999,0.0008822999999999999,0.08222090800000001,0.087324316
6000,6000,200,0.08591572800000001,0.002319299080976932,0.0850868685,0.07731970000000002,0.0030016,0.08277651100000001,0.08946923100000001
6100,6100,200,0.09487490090000003,0.021135191562378162,0.0892597705,0.08838599999999999,0.000937,0.08307460500000001,0.15459757000000002
6200,6200,200,0.09249224800000001,0.006211243420150088,0.09043501100000001,0.0846641,0.0019603999999999997,0.08540647000000001,0.102784844
6300,6300,200,0.09236018300000001,0.0033538620678434127,0.091609771,0.08353450000000001,0.002948,0.088228176,0.09906118700000001
6400,6400,200,0.0929351199,0.0016154361171673655,0.092800424,0.0861604,0.0009455999999999999,0.090772036,0.09516569000000001
6500,6500,200,0.0936624764,0.0014661926096970574,0.09357712400000001,0.08702689999999999,0.0010050999999999999,0.09075226900000001,0.09574964300000001
6600,6600,200,0.09431711970000001,0.0024900403587786862,0.0944365285,0.088391,0.0,0.089715478,0.09792141300000001
6700,6700,200,0.09657438840000002,0.0018625485855304823,0.09649329100000001,0.089624,0.0010038,0.094186981,0.099378568
6800,6800,200,0.103339789,0.008260811912562217,0.0995767555,0.09535869999999999,0.0019057999999999998,0.096113692,0.12214448200000001
6900,6900,200,0.1005763207,0.001630519707435096,0.10082906050000001,0.0906723,0.0038293999999999993,0.097822298,0.103134165
7000,7000,200,0.0999570411,0.0025362297195771354,0.100099615,0.0927981,0.0009467,0.09659416700000001,0.105133904
7100,7100,200,0.10454026890000001,0.002526128576803618,0.10414600400000001,0.09749039999999999,0.0010685999999999998,0.100231492,0.109450828
7200,7200,200,0.10479677870000001,0.0034911459375751635,0.10447529150000001,0.0939381,0.004673999999999999,0.09987198100000001,0.11143942400000001
7300,7300,200,0.1057572846,0.0023448598406229453,0.10500249750000001,0.0988244,0.0009911999999999998,0.10337331000000001,0.11058654400000001
7400,7400,200,0.10353766360000001,0.00257800169288231,0.1043047185,0.09660720000000002,0.0009994,0.09961884900000001,0.10666750400000001
7500,7500,200,0.10726525860000002,0.0020916626063369995,0.1073411605,0.10103319999999998,0.0,0.10356915600000001,0.10989939000000001
7600,7600,200,0.1085969546,0.0028271263069237396,0.1090245,0.09874379999999999,0.0038778999999999992,0.10541041000000001,0.113519252
7700,7700,200,0.11187962150000001,0.0027194089664419217,0.11235249,0.103037,0.0029165,0.10595299600000001,0.115744709
7800,7800,200,0.1136059528,0.0023489150068571763,0.11402587650000001,0.10647329999999999,0.0008997999999999999,0.109422608,0.11786291700000001
7900,7900,200,0.11296023210000002,0.002392794506077611,0.11202813650000001,0.10465569999999999,0.0020039000000000003,0.11016114900000001,0.116386609
8000,8000,200,0.12041469200000002,0.006960435652929048,0.1179840605,0.11044379999999998,0.0038231000000000003,0.112145277,0.13505108000000002
8100,8100,200,0.1162816917,0.00361376737953913,0.116811063,0.1071297,0.0029693999999999996,0.11083356000000001,0.122486618
