stations,connections,lines,mean,stddev,median,user,system,min,max
100,100,100,0.005119891800000001,0.00021127065865209234,0.0050692885,0.0018763000000000002,0.0,0.004876664,0.0055094440000000005
200,200,200,0.0062263152000000006,0.00025878621397370556,0.0062131245,0.0028242999999999996,0.0,0.005907476,0.006738427000000001
300,300,300,0.007311983100000001,0.00039147255157714715,0.0072412225,0.004143699999999999,0.0,0.006795834000000001,0.008082084
400,400,400,0.0092297783,0.00025679206007803715,0.0091838445,0.0041811999999999995,0.0017676999999999999,0.008920271,0.009696632
500,500,500,0.012408280600000002,0.0008784494261845956,0.0123777355,0.008742799999999998,0.0,0.011110299,0.013988947000000002
600,600,600,0.015044370800000002,0.0006015534846094177,0.0149522465,0.0112534,0.0005803,0.014170048000000001,0.016065684
700,700,700,0.019666353000000004,0.0008563972886214793,0.0198938565,0.015586800000000001,0.0008591,0.017845838000000003,0.020662679
800,800,800,0.024805911500000003,0.0007047965054725218,0.024832215,0.0195949,0.0017648,0.023932623,0.026201925
900,900,900,0.0314689026,0.0015378162092954486,0.03156215700000001,0.027823399999999998,0.0,0.028618647,0.033524189
1000,1000,1000,0.0379298027,0.003528833424852437,0.037122953,0.0325882,0.0016287999999999997,0.035105567000000004,0.047177759
1100,1100,1100,0.043894640299999996,0.0011750887722979404,0.0434460075,0.0393956,0.0009822,0.042801780000000005,0.046013660000000005
1200,1200,1200,0.056756053900000006,0.016647928729427705,0.0517763725,0.05124789999999999,0.0018389999999999997,0.049798107,0.104065642
1300,1300,1300,0.06358996200000001,0.0054442583117307874,0.062269287000000006,0.05723269999999999,0.0027841999999999997,0.059241391000000004,0.077738768
1400,1400,1400,0.07396727420000002,0.001708407062394078,0.07370119350000001,0.06931040000000001,0.000986,0.071875228,0.0770615
1500,1500,1500,0.08280917930000001,0.001045445976919158,0.0828354775,0.07817919999999999,0.0009892999999999998,0.08056165600000001,0.08411906100000001
1600,1600,1600,0.09857283210000001,0.002722659257209452,0.09837412100000001,0.09388959999999999,0.0009433,0.092748065,0.10265412900000001
1700,1700,1700,0.11117145970000002,0.002920361569822823,0.1112739855,0.1054228,0.0019310999999999998,0.106496432,0.11620751100000001
1800,1800,1800,0.12587751919999998,0.003253280131644976,0.12437374650000001,0.12022559999999997,0.0019853999999999996,0.12323246900000001,0.132452183
