stations,connections,lines,mean,stddev,median,user,system,min,max
200,100,100,0.005911305900000001,0.003734617951214391,0.0046699815,0.0014826999999999998,0.00030000000000000003,0.004537061,0.016520720000000003
200,200,200,0.0063629003,0.0003562820251929176,0.0064002655,0.0029441999999999997,0.0,0.005590215,0.006825464000000001
200,300,300,0.0090140354,0.0005000495732112078,0.008792676000000001,0.0051047,0.0006181,0.008378204,0.009828213
200,400,400,0.012095979699999999,0.0004002871959359098,0.0120385345,0.008778999999999999,0.0,0.01161972,0.012615561
200,500,500,0.0163318966,0.0004421036728933862,0.016345857499999998,0.011769099999999998,0.0012993,0.015515907,0.016994234
200,600,600,0.0211086094,0.0006234866114800964,0.021132569500000004,0.0178501,0.0,0.020149979000000002,0.021799364
200,700,700,0.026468558900000005,0.0006627341405583809,0.026303378000000002,0.0224539,0.0007587,0.025657139000000002,0.027505294000000003
200,800,800,0.0336786929,0.0011414653082045653,0.033118523,0.029171600000000002,0.000985,0.032410983000000004,0.03593735
200,900,900,0.0409002606,0.0014736474974877966,0.0408356275,0.0375528,0.0,0.039154810000000005,0.044239971
200,1000,1000,0.049316426499999996,0.0020254383769762177,0.049290952,0.0458682,0.0,0.045785074,0.053052597
200,1100,1100,0.05856054040000001,0.0015216322346465253,0.0586760685,0.0550435,0.0,0.056130836,0.061528364
200,1200,1200,0.07415752840000002,0.004130756542535684,0.07339289,0.0686203,0.0017929,0.06861086000000001,0.082055402
200,1300,1300,0.080874398,0.002081523805371439,0.0802652685,0.0763683,0.0009087999999999999,0.07897533400000001,0.085657034
200,1400,1400,0.09628439450000001,0.0023854712868765582,0.0972724895,0.09090079999999999,0.0019020999999999999,0.09126207,0.098826963
200,1500,1500,0.10918773200000001,0.003254226768026881,0.10876936400000001,0.10379660000000002,0.0019037,0.10566800100000001,0.11313431400000001
200,1600,1600,0.12133044370000001,0.001980013281592663,0.12144731950000001,0.11306229999999999,0.0047864000000000005,0.11816034700000001,0.12385393600000001
200,1700,1700,0.1392067515,0.0037891197738966985,0.1396762055,0.135602,0.0,0.132086976,0.145594523
200,1800,1800,0.15877911510000003,0.0028031340311595048,0.1590611005,0.15373209999999998,0.0009639,0.154114154,0.163150808
200,1900,1900,0.17517281370000004,0.002703569371006044,0.175264469,0.16949009999999998,0.0018818,0.170723769,0.17851587900000002
200,2000,2000,0.1946430056,0.007242352449701842,0.19389425500000002,0.1909834,0.0,0.185442459,0.210921143
200,2100,2100,0.2122733927,0.004212173982166903,0.212844306,0.2086875,0.0,0.205223118,0.21796000100000001
200,2200,2200,0.2251460035,0.008080173777051596,0.22396644850000003,0.22028940000000002,0.0009601999999999999,0.217561995,0.243537198
200,2300,2300,0.24188773719999998,0.005588087309039033,0.24251962450000003,0.23676859999999994,0.0009979,0.233715831,0.25299508600000004
200,2400,2400,0.2551431342,0.006453318524238845,0.254355706,0.251182,0.0,0.24466656,0.265635917
200,2500,2500,0.2806249201,0.01973693871083648,0.274784146,0.2745859999999999,0.0019576,0.267844705,0.33555285100000004
200,2600,2600,0.28557677950000004,0.006326038145104528,0.28521911450000004,0.27954110000000004,0.0019541,0.276991808,0.299901482
200,2700,2700,0.3086980608,0.01821002082675814,0.3046779095,0.3038023000000001,0.0009745999999999999,0.294607008,0.359212725
200,2800,2800,0.33839837880000007,0.006979538312980873,0.33775808,0.3323575,0.0019729,0.32823759,0.34973855000000004
200,2900,2900,0.35224296720000003,0.00614023150839447,0.3509014225,0.34806299999999996,0.0,0.345010468,0.366604613
200,3000,3000,0.3913629974,0.011418278324546212,0.387526727,0.3871868,0.0,0.3798957,0.40800634900000005
200,3100,3100,0.41701954370000005,0.008480310279397513,0.41536720950000006,0.41190509999999997,0.0009796,0.40930944,0.43895232700000003
200,3200,3200,0.4493432131,0.006168324402294092,0.45011484500000004,0.4432222,0.0019825,0.436419537,0.458029493
200,3300,3300,0.486577837,0.0044896590934411324,0.487032205,0.47931670000000004,0.0029605,0.47964326700000004,0.49433476000000004
